drug_id,name,atc_codes,target_genes,enzyme_genes,transporter_genes,all_genes,num_targets,num_enzymes,num_transporters,num_total_genes
DB00001,Lepirudin,['B01AE02'],['F2'],[],[],['F2'],1,0,0,1
DB00002,Cetuximab,['L01XC06'],"['EGFR', 'FCGR3B', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'C1S', 'FCGR1A', 'FCGR2A', 'FCGR2B', 'FCGR2C']",[],[],"['FCGR2A', 'EGFR', 'C1QC', 'FCGR3A', 'C1R', 'FCGR1A', 'FCGR3B', 'C1QA', 'C1S', 'FCGR2C', 'FCGR2B', 'C1QB']",12,0,0,12
DB00004,Denileukin diftitox,['L01XX29'],"['IL2RA', 'IL2RB', 'IL2RG']",[],[],"['IL2RB', 'IL2RA', 'IL2RG']",3,0,0,3
DB00005,Etanercept,['L04AB01'],"['TNF', 'TNFRSF1B', 'FCGR1A', 'FCGR3A', 'FCGR2A', 'FCGR2B', 'FCGR2C', 'LTA', 'FCGR3B', 'C1S', 'C1R', 'C1QA', 'C1QB', 'C1QC']",[],[],"['FCGR2A', 'C1QC', 'FCGR3A', 'FCGR1A', 'C1R', 'FCGR3B', 'TNFRSF1B', 'C1QA', 'C1S', 'FCGR2C', 'LTA', 'FCGR2B', 'C1QB', 'TNF']",14,0,0,14
DB00006,Bivalirudin,['B01AE06'],['F2'],['MPO'],[],"['F2', 'MPO']",1,1,0,2
DB00007,Leuprolide,"['L02AE51', 'L02AE02']",['GNRHR'],['CYP3A4'],[],"['CYP3A4', 'GNRHR']",1,1,0,2
DB00008,Peginterferon alfa-2a,"['L03AB11', 'L03AB61']","['IFNAR2', 'IFNAR1']",['CYP1A2'],[],"['IFNAR2', 'IFNAR1', 'CYP1A2']",2,1,0,3
DB00009,Alteplase,"['B01AD02', 'S01XA13']","['PLG', 'FGA', 'PLAUR', 'SERPINE1']",[],[],"['PLG', 'FGA', 'PLAUR', 'SERPINE1']",4,0,0,4
DB00010,Sermorelin,"['V04CD03', 'H01AC04']",['GHRHR'],[],[],['GHRHR'],1,0,0,1
DB00011,Interferon alfa-n1,['L03AB06'],"['IFNAR2', 'IFNAR1']",[],[],"['IFNAR2', 'IFNAR1']",2,0,0,2
DB00012,Darbepoetin alfa,['B03XA02'],['EPOR'],[],[],['EPOR'],1,0,0,1
DB00013,Urokinase,['B01AD04'],"['PLG', 'PLAUR', 'PLAU', 'PLAT', 'SERPINE1', 'SERPINB2', 'SERPINA5', 'LRP2', 'ST14', 'NID1']",[],[],"['PLAU', 'LRP2', 'PLG', 'ST14', 'PLAUR', 'SERPINA5', 'SERPINE1', 'PLAT', 'SERPINB2', 'NID1']",10,0,0,10
DB00014,Goserelin,['L02AE03'],"['LHCGR', 'GNRHR']",[],[],"['LHCGR', 'GNRHR']",2,0,0,2
DB00015,Reteplase,['B01AD07'],"['PLG', 'FGA', 'PLAUR', 'SERPINE1']",[],[],"['PLG', 'FGA', 'PLAUR', 'SERPINE1']",4,0,0,4
DB00016,Erythropoietin,['B03XA01'],['EPOR'],[],[],['EPOR'],1,0,0,1
DB00017,Salmon Calcitonin,['H05BA01'],['CALCR'],[],[],['CALCR'],1,0,0,1
DB00019,Pegfilgrastim,['L03AA13'],"['CSF3R', 'ELANE']",[],[],"['CSF3R', 'ELANE']",2,0,0,2
