signature_name,drug_name,cid,direction,num_genes
Diphenidol_AF-80-QK39_batchid1_0.01uM_24h up,Diphenidol,3055,up,79
Diphenidol_AF-80-QK39_batchid1_0.01uM_24h down,Diphenidol,3055,down,21
Etiron_AF-18-FX20_batchid1_0.01uM_24h up,Etiron,5139,up,16
Etiron_AF-18-FX20_batchid1_0.01uM_24h down,Etiron,5139,down,7
Chlorambucil_AA-51-RY00_batchid1_0.01uM_24h up,Chlorambucil,2708,up,8
Chlorambucil_AA-51-RY00_batchid1_0.01uM_24h down,Chlorambucil,2708,down,6
Methioprim_KF-70-DC09_batchid1_0.01uM_24h up,Methioprim,220531,up,12
Methioprim_KF-70-DC09_batchid1_0.01uM_24h down,Methioprim,220531,down,6
1550234_AC-55-CK61_batchid1_0.01uM_24h up,1550234,1550234,up,36
1550234_AC-55-CK61_batchid1_0.01uM_24h down,1550234,1550234,down,9
10220069_JF-74-GS02_batchid1_0.01uM_24h up,10220069,10220069,up,28
10220069_JF-74-GS02_batchid1_0.01uM_24h down,10220069,10220069,down,16
Hydroflumethiazide_BC-45-VY95_batchid1_0.01uM_24h up,Hydroflumethiazide,3647,up,109
Hydroflumethiazide_BC-45-VY95_batchid1_0.01uM_24h down,Hydroflumethiazide,3647,down,42
"1,3-diphenyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine_ME-14-LE68_batchid1_0.01uM_24h up","1,3-diphenyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine",5327820,up,13
"1,3-diphenyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine_ME-14-LE68_batchid1_0.01uM_24h down","1,3-diphenyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine",5327820,down,37
Nomifensine_CC-14-WK34_batchid1_0.01uM_24h up,Nomifensine,4528,up,250
Nomifensine_CC-14-WK34_batchid1_0.01uM_24h down,Nomifensine,4528,down,146
Palmidrol_CB-12-HC20_batchid1_0.01uM_24h up,Palmidrol,4671,up,354
Palmidrol_CB-12-HC20_batchid1_0.01uM_24h down,Palmidrol,4671,down,168
"7,8-Dichloro-1,2,3,4-tetrahydroisoquinoline_CD-80-ZD47_batchid1_0.01uM_24h up","7,8-Dichloro-1,2,3,4-tetrahydroisoquinoline",123920,up,95
"7,8-Dichloro-1,2,3,4-tetrahydroisoquinoline_CD-80-ZD47_batchid1_0.01uM_24h down","7,8-Dichloro-1,2,3,4-tetrahydroisoquinoline",123920,down,259
Diltiazem_AF-33-AM86_batchid1_0.01uM_24h up,Diltiazem,39186,up,210
Diltiazem_AF-33-AM86_batchid1_0.01uM_24h down,Diltiazem,39186,down,61
Pamidronic Acid_BE-82-MI84_batchid1_0.01uM_24h up,Pamidronic Acid,4674,up,44
Pamidronic Acid_BE-82-MI84_batchid1_0.01uM_24h down,Pamidronic Acid,4674,down,14
Umbelliferone_AD-12-YF12_batchid1_0.01uM_24h up,Umbelliferone,5281426,up,80
Umbelliferone_AD-12-YF12_batchid1_0.01uM_24h down,Umbelliferone,5281426,down,26
13799300_EA-86-QK08_batchid1_0.01uM_24h up,13799300,13799300,up,130
13799300_EA-86-QK08_batchid1_0.01uM_24h down,13799300,13799300,down,107
Tianeptine_CF-97-AV07_batchid1_0.01uM_24h up,Tianeptine,68870,up,226
Tianeptine_CF-97-AV07_batchid1_0.01uM_24h down,Tianeptine,68870,down,483
108099_FE-31-JU80_batchid1_0.01uM_24h up,108099,108099,up,13
_ID-12-GA19_batchid1_0.01uM_24h up,,,up,7
9821402_AF-76-AY17_batchid1_0.01uM_24h up,9821402,9821402,up,108
9821402_AF-76-AY17_batchid1_0.01uM_24h down,9821402,9821402,down,13
_CE-73-XC72_batchid1_0.01uM_24h up,,4950,up,85
_CE-73-XC72_batchid1_0.01uM_24h down,,4950,down,17
Camptothecin_BE-31-XV38_batchid1_0.01uM_24h up,Camptothecin,24360,up,67
Camptothecin_BE-31-XV38_batchid1_0.01uM_24h down,Camptothecin,24360,down,51
