drug_id,drug_name,atc_code,atc_level1,atc_level1_name,atc_level2,atc_level3,atc_level4,atc_level5,level_name,primary_category
DB00001,Lepirudin,B01AE02,B,Blood and blood forming organs,B01,B01A,B01AE,B01AE02,Direct thrombin inhibitors,B
DB00002,Cetuximab,L01XC06,L,Antineoplastic and immunomodulating agents,L01,L01X,L01XC,L01XC06,Monoclonal antibodies,L
DB00003,Dornase alfa,R05CB13,R,Respiratory system,R05,R05C,R05CB,R05CB13,Mucolytics,R
DB00004,Denileukin diftitox,L01XX29,L,Antineoplastic and immunomodulating agents,L01,L01X,L01XX,L01XX29,Other antineoplastic agents,L
DB00005,Etanercept,L04AB01,L,Antineoplastic and immunomodulating agents,L04,L04A,L04AB,L04AB01,Tumor necrosis factor alpha (TNF-α) inhibitors,L
DB00006,Bivalirudin,B01AE06,B,Blood and blood forming organs,B01,B01A,B01AE,B01AE06,Direct thrombin inhibitors,B
DB00007,Leuprolide,L02AE51,L,Antineoplastic and immunomodulating agents,L02,L02A,L02AE,L02AE51,Gonadotropin releasing hormone analogues,L
DB00007,Leuprolide,L02AE02,L,Antineoplastic and immunomodulating agents,L02,L02A,L02AE,L02AE02,Gonadotropin releasing hormone analogues,L
DB00008,Peginterferon alfa-2a,L03AB11,L,Antineoplastic and immunomodulating agents,L03,L03A,L03AB,L03AB11,Interferons,L
DB00008,Peginterferon alfa-2a,L03AB61,L,Antineoplastic and immunomodulating agents,L03,L03A,L03AB,L03AB61,Interferons,L
DB00009,Alteplase,B01AD02,B,Blood and blood forming organs,B01,B01A,B01AD,B01AD02,Enzymes,B
DB00009,Alteplase,S01XA13,S,Sensory organs,S01,S01X,S01XA,S01XA13,Other ophthalmologicals,S
DB00010,Sermorelin,V04CD03,V,Various,V04,V04C,V04CD,V04CD03,Tests for pituitary function,V
DB00010,Sermorelin,H01AC04,H,Systemic hormonal preparations,H01,H01A,H01AC,H01AC04,Somatropin and somatropin agonists,H
DB00011,Interferon alfa-n1,L03AB06,L,Antineoplastic and immunomodulating agents,L03,L03A,L03AB,L03AB06,Interferons,L
DB00012,Darbepoetin alfa,B03XA02,B,Blood and blood forming organs,B03,B03X,B03XA,B03XA02,Other antianemic preparations,B
DB00013,Urokinase,B01AD04,B,Blood and blood forming organs,B01,B01A,B01AD,B01AD04,Enzymes,B
DB00014,Goserelin,L02AE03,L,Antineoplastic and immunomodulating agents,L02,L02A,L02AE,L02AE03,Gonadotropin releasing hormone analogues,L
DB00015,Reteplase,B01AD07,B,Blood and blood forming organs,B01,B01A,B01AD,B01AD07,Enzymes,B
DB00016,Erythropoietin,B03XA01,B,Blood and blood forming organs,B03,B03X,B03XA,B03XA01,Other antianemic preparations,B
DB00017,Salmon Calcitonin,H05BA01,H,Systemic hormonal preparations,H05,H05B,H05BA,H05BA01,Calcitonin preparations,H
DB00019,Pegfilgrastim,L03AA13,L,Antineoplastic and immunomodulating agents,L03,L03A,L03AA,L03AA13,Colony stimulating factors,L
DB00020,Sargramostim,L03AA09,L,Antineoplastic and immunomodulating agents,L03,L03A,L03AA,L03AA09,Colony stimulating factors,L
DB00022,Peginterferon alfa-2b,L03AB10,L,Antineoplastic and immunomodulating agents,L03,L03A,L03AB,L03AB10,Interferons,L
DB00022,Peginterferon alfa-2b,L03AB60,L,Antineoplastic and immunomodulating agents,L03,L03A,L03AB,L03AB60,Interferons,L
DB00023,Asparaginase Escherichia coli,L01XX02,L,Antineoplastic and immunomodulating agents,L01,L01X,L01XX,L01XX02,Other antineoplastic agents,L
DB00024,Thyrotropin alfa,H01AB01,H,Systemic hormonal preparations,H01,H01A,H01AB,H01AB01,Thyrotropin,H
DB00025,"Antihemophilic factor, human recombinant",B02BD02,B,Blood and blood forming organs,B02,B02B,B02BD,B02BD02,Blood coagulation factors,B
DB00026,Anakinra,L04AC03,L,Antineoplastic and immunomodulating agents,L04,L04A,L04AC,L04AC03,Interleukin inhibitors,L
DB00027,Gramicidin D,R02AB30,R,Respiratory system,R02,R02A,R02AB,R02AB30,Antibiotics,R
DB00029,Anistreplase,B01AD03,B,Blood and blood forming organs,B01,B01A,B01AD,B01AD03,Enzymes,B
DB00030,Insulin Human,A10AC01,A,Alimentary tract and metabolism,A10,A10A,A10AC,A10AC01,"Insulins and analogues for injection, intermediate-acting",A
DB00030,Insulin Human,A10AE01,A,Alimentary tract and metabolism,A10,A10A,A10AE,A10AE01,"Insulins and analogues for injection, long-acting",A
DB00030,Insulin Human,A10AB01,A,Alimentary tract and metabolism,A10,A10A,A10AB,A10AB01,"Insulins and analogues for injection, fast-acting",A
DB00030,Insulin Human,A10AD01,A,Alimentary tract and metabolism,A10,A10A,A10AD,A10AD01,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",A
DB00030,Insulin Human,A10AF01,A,Alimentary tract and metabolism,A10,A10A,A10AF,A10AF01,Insulins and analogues for inhalation,A
DB00031,Tenecteplase,B01AD11,B,Blood and blood forming organs,B01,B01A,B01AD,B01AD11,Enzymes,B
DB00032,Menotropins,G03GA02,G,Genito-urinary system and sex hormones,G03,G03G,G03GA,G03GA02,Gonadotropins,G
DB00034,"Interferon Alfa-2a, Recombinant",L03AB04,L,Antineoplastic and immunomodulating agents,L03,L03A,L03AB,L03AB04,Interferons,L
DB00035,Desmopressin,H01BA02,H,Systemic hormonal preparations,H01,H01B,H01BA,H01BA02,Vasopressin and analogues,H
DB00036,Coagulation factor VIIa Recombinant Human,B02BD08,B,Blood and blood forming organs,B02,B02B,B02BD,B02BD08,Blood coagulation factors,B
DB00038,Oprelvekin,L03AC02,L,Antineoplastic and immunomodulating agents,L03,L03A,L03AC,L03AC02,Interleukins,L
DB00039,Palifermin,V03AF08,V,Various,V03,V03A,V03AF,V03AF08,Detoxifying agents for antineoplastic treatment,V
DB00040,Glucagon,H04AA01,H,Systemic hormonal preparations,H04,H04A,H04AA,H04AA01,Glycogenolytic hormones,H
DB00041,Aldesleukin,L03AC01,L,Antineoplastic and immunomodulating agents,L03,L03A,L03AC,L03AC01,Interleukins,L
DB00042,Botulinum Toxin Type B,M03AX01,M,Musculo-skeletal system,M03,M03A,M03AX,M03AX01,"Other muscle relaxants, peripherally acting agents",M
DB00043,Omalizumab,R03DX05,R,Respiratory system,R03,R03D,R03DX,R03DX05,Other systemic drugs for obstructive airway diseases,R
DB00044,Lutropin alfa,G03GA07,G,Genito-urinary system and sex hormones,G03,G03G,G03GA,G03GA07,Gonadotropins,G
DB00046,Insulin Lispro,A10AC04,A,Alimentary tract and metabolism,A10,A10A,A10AC,A10AC04,"Insulins and analogues for injection, intermediate-acting",A
DB00046,Insulin Lispro,A10AB04,A,Alimentary tract and metabolism,A10,A10A,A10AB,A10AB04,"Insulins and analogues for injection, fast-acting",A
DB00046,Insulin Lispro,A10AD04,A,Alimentary tract and metabolism,A10,A10A,A10AD,A10AD04,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",A
DB00047,Insulin glargine,A10AE54,A,Alimentary tract and metabolism,A10,A10A,A10AE,A10AE54,"Insulins and analogues for injection, long-acting",A
DB00047,Insulin glargine,A10AE04,A,Alimentary tract and metabolism,A10,A10A,A10AE,A10AE04,"Insulins and analogues for injection, long-acting",A
DB00048,Collagenase clostridium histolyticum,D03BA02,D,Dermatologicals,D03,D03B,D03BA,D03BA02,Proteolytic enzymes,D
DB00048,Collagenase clostridium histolyticum,M09AB02,M,Musculo-skeletal system,M09,M09A,M09AB,M09AB02,Enzymes,M
DB00048,Collagenase clostridium histolyticum,D03BA52,D,Dermatologicals,D03,D03B,D03BA,D03BA52,Proteolytic enzymes,D
DB00049,Rasburicase,V03AF07,V,Various,V03,V03A,V03AF,V03AF07,Detoxifying agents for antineoplastic treatment,V
DB00049,Rasburicase,M04AX01,M,Musculo-skeletal system,M04,M04A,M04AX,M04AX01,Other antigout preparations,M
DB00050,Cetrorelix,H01CC02,H,Systemic hormonal preparations,H01,H01C,H01CC,H01CC02,Anti-gonadotropin-releasing hormones,H
DB00051,Adalimumab,L04AB04,L,Antineoplastic and immunomodulating agents,L04,L04A,L04AB,L04AB04,Tumor necrosis factor alpha (TNF-α) inhibitors,L
DB00052,Somatotropin,H01AC01,H,Systemic hormonal preparations,H01,H01A,H01AC,H01AC01,Somatropin and somatropin agonists,H
DB00053,Imiglucerase,A16AB02,A,Alimentary tract and metabolism,A16,A16A,A16AB,A16AB02,Enzymes,A
DB00054,Abciximab,B01AC13,B,Blood and blood forming organs,B01,B01A,B01AC,B01AC13,Platelet aggregation inhibitors excl. heparin,B
DB00055,Drotrecogin alfa,B01AD10,B,Blood and blood forming organs,B01,B01A,B01AD,B01AD10,Enzymes,B
DB00056,Gemtuzumab ozogamicin,L01XC05,L,Antineoplastic and immunomodulating agents,L01,L01X,L01XC,L01XC05,Monoclonal antibodies,L
DB00057,Indium In-111 satumomab pendetide,V09IB02,V,Various,V09,V09I,V09IB,V09IB02,Indium (111In) compounds,V
DB00058,Alpha-1-proteinase inhibitor,B02AB02,B,Blood and blood forming organs,B02,B02A,B02AB,B02AB02,Proteinase inhibitors,B
DB00059,Pegaspargase,L01XX24,L,Antineoplastic and immunomodulating agents,L01,L01X,L01XX,L01XX24,Other antineoplastic agents,L
DB00060,Interferon beta-1a,L03AB07,L,Antineoplastic and immunomodulating agents,L03,L03A,L03AB,L03AB07,Interferons,L
DB00061,Pegademase,L03AX04,L,Antineoplastic and immunomodulating agents,L03,L03A,L03AX,L03AX04,Other immunostimulants,L
DB00063,Eptifibatide,B01AC16,B,Blood and blood forming organs,B01,B01A,B01AC,B01AC16,Platelet aggregation inhibitors excl. heparin,B
DB00065,Infliximab,L04AB02,L,Antineoplastic and immunomodulating agents,L04,L04A,L04AB,L04AB02,Tumor necrosis factor alpha (TNF-α) inhibitors,L
DB00066,Follitropin,G03GA10,G,Genito-urinary system and sex hormones,G03,G03G,G03GA,G03GA10,Gonadotropins,G
DB00066,Follitropin,G03GA06,G,Genito-urinary system and sex hormones,G03,G03G,G03GA,G03GA06,Gonadotropins,G
DB00066,Follitropin,G03GA05,G,Genito-urinary system and sex hormones,G03,G03G,G03GA,G03GA05,Gonadotropins,G
DB00068,Interferon beta-1b,L03AB08,L,Antineoplastic and immunomodulating agents,L03,L03A,L03AB,L03AB08,Interferons,L
DB00069,Interferon alfacon-1,L03AB09,L,Antineoplastic and immunomodulating agents,L03,L03A,L03AB,L03AB09,Interferons,L
DB00071,Insulin Pork,A10AC03,A,Alimentary tract and metabolism,A10,A10A,A10AC,A10AC03,"Insulins and analogues for injection, intermediate-acting",A
DB00071,Insulin Pork,A10AB03,A,Alimentary tract and metabolism,A10,A10A,A10AB,A10AB03,"Insulins and analogues for injection, fast-acting",A
DB00071,Insulin Pork,A10AE03,A,Alimentary tract and metabolism,A10,A10A,A10AE,A10AE03,"Insulins and analogues for injection, long-acting",A
DB00071,Insulin Pork,A10AD03,A,Alimentary tract and metabolism,A10,A10A,A10AD,A10AD03,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",A
DB00072,Trastuzumab,L01XC03,L,Antineoplastic and immunomodulating agents,L01,L01X,L01XC,L01XC03,Monoclonal antibodies,L
DB00073,Rituximab,L01XC02,L,Antineoplastic and immunomodulating agents,L01,L01X,L01XC,L01XC02,Monoclonal antibodies,L
DB00074,Basiliximab,L04AC02,L,Antineoplastic and immunomodulating agents,L04,L04A,L04AC,L04AC02,Interleukin inhibitors,L
DB00075,Muromonab,L04AA02,L,Antineoplastic and immunomodulating agents,L04,L04A,L04AA,L04AA02,Selective immunosuppressants,L
DB00076,Digoxin Immune Fab (Ovine),V03AB24,V,Various,V03,V03A,V03AB,V03AB24,Antidotes,V
DB00078,Ibritumomab tiuxetan,V10XX02,V,Various,V10,V10X,V10XX,V10XX02,Various therapeutic radiopharmaceuticals,V
