,precision,recall,f1-score,support
A,0.3404255319148936,0.36363636363636365,0.3516483516483517,44.0
B,0.42857142857142855,0.2857142857142857,0.34285714285714286,21.0
C,0.46,0.48936170212765956,0.4742268041237113,47.0
D,0.5454545454545454,0.3157894736842105,0.4,19.0
G,0.375,0.36,0.3673469387755102,25.0
H,0.0,0.0,0.0,9.0
J,0.40816326530612246,0.5555555555555556,0.47058823529411764,36.0
L,0.4166666666666667,0.6730769230769231,0.5147058823529411,52.0
M,0.36363636363636365,0.2,0.25806451612903225,20.0
N,0.6153846153846154,0.7384615384615385,0.6713286713286714,65.0
P,0.0,0.0,0.0,8.0
R,0.6923076923076923,0.375,0.4864864864864865,24.0
S,0.2727272727272727,0.2,0.23076923076923078,15.0
V,0.0,0.0,0.0,12.0
accuracy,0.4508816120906801,0.4508816120906801,0.4508816120906801,0.4508816120906801
macro avg,0.35130981299782865,0.32547113158975266,0.32628730426894254,397.0
weighted avg,0.4273977958806039,0.4508816120906801,0.42666400802223997,397.0
